id,path,question,a,b,c,d,answer
train_0001.jpg,train/train_0001.jpg,사진 속 흰색 텀블러의 재질은 무엇인가요?,유리,금속,종이,플라스틱,b
train_0002.jpg,train/train_0002.jpg,사진에 보이는 재활용 가능한 병의 종류는 무엇인가요?,금속 캔,유리 병,플라스틱 병,종이 팩,b
train_0003.jpg,train/train_0003.jpg,사진 속 재활용품 중 플라스틱 재질인 것은 무엇인가요?,껌 상자,헤어끈,음료 컵과 뚜껑,종이컵 홀더,c
train_0004.jpg,train/train_0004.jpg,사진에 보이는 '빅파이' 과자 상자의 재활용 분류는 무엇인가요?,종이류,유리류,플라스틱류,금속류,a
train_0005.jpg,train/train_0005.jpg,사진 속 음료 용기의 재활용 분류는 무엇인가요?,종이,플라스틱,금속,유리,b
train_0006.jpg,train/train_0006.jpg,사진 속 재활용품 중 플라스틱 재질인 것은 무엇인가요?,종이 위에 놓인 사탕 포장지,종이컵 홀더,컴퓨터 모니터,플라스틱 컵과 빨대,d
train_0007.jpg,train/train_0007.jpg,사진에 보이는 재활용품 중에서 가장 많은 종류는 무엇인가요?,금속 캔,플라스틱 봉투,종이상자,유리병,c
train_0008.jpg,train/train_0008.jpg,사진 속 재활용품 중 플라스틱 병은 몇 개 있나요?,2개,3개,1개,없다,c
train_0009.jpg,train/train_0009.jpg,사진에서 재활용품으로 분류할 수 있는 상자는 어떤 재질인가요?,종이,금속,유리,플라스틱,a
train_0010.jpg,train/train_0010.jpg,사진에 보이는 재활용 가능한 종이컵의 색상은 무엇인가요?,빨간색과 흰색,초록색과 흰색,파란색과 흰색,노란색과 흰색,b
train_0011.jpg,train/train_0011.jpg,사진에 보이는 재활용품 중 종이상자의 개수는 몇 개인가요?,10개 이상,5개 이상 10개 미만,3개 이상 5개 미만,3개 미만,a
train_0012.jpg,train/train_0012.jpg,사진에 보이는 재활용품 중 플라스틱 재질은 무엇인가요?,음료 캔,플라스틱 컵과 빨대,유리병,종이컵,b
train_0013.jpg,train/train_0013.jpg,사진에 보이는 재활용 가능한 캔은 몇 개입니까?,4개,3개,2개,1개,c
train_0014.jpg,train/train_0014.jpg,사진에 보이는 재활용품은 무엇인가요?,종이컵,플라스틱 컵,금속 캔,유리병,b
train_0015.jpg,train/train_0015.jpg,사진에 보이는 재활용품 중 플라스틱 병의 개수는 몇 개인가요?,3개,2개,4개,1개,a
train_0016.jpg,train/train_0016.jpg,사진에 보이는 재활용 가능한 플라스틱 병의 뚜껑 색깔은 무엇인가요?,파란색,빨간색,초록색,노란색,c
train_0017.jpg,train/train_0017.jpg,사진 속 음료 컵의 재활용 분류는 무엇인가요?,종이,금속,유리,플라스틱,d
train_0018.jpg,train/train_0018.jpg,사진에 보이는 재활용 가능한 플라스틱 병은 몇 개입니까?,2개,4개,1개,3개,a
train_0019.jpg,train/train_0019.jpg,사진에 보이는 재활용 가능한 플라스틱 용기는 무엇인가요?,키보드,차 티백 포장지,립밤 용기,알약 포장지,c
train_0020.jpg,train/train_0020.jpg,사진에 보이는 재활용품 중 알루미늄 캔은 어떤 맛의 음료수인가요?,제로 슈가 라임 맛,사과 맛,콜라 맛,오렌지 맛,a
train_0021.jpg,train/train_0021.jpg,사진 속 책상 위에 보이는 재활용 가능한 플라스틱 컵은 몇 개인가요?,2개,4개,3개,1개,d
train_0022.jpg,train/train_0022.jpg,사진에 보이는 플라스틱 컵에 꽂힌 빨대의 색깔은 무엇인가요?,파란색,빨간색,노란색,초록색,c
